screening_group,run,sample_id,FHB_normalized,SD,source_slide
444,5,1st-5,5-47,50.59,3.47,50
445,5,1st-5,5-48,35.73,2.5,50
446,5,2nd-4,5-49,3.49,0.19,52
447,5,2nd-4,5-50,32.78,0.43,52
448,5,2nd-4,5-51,59.67,0.3,52
449,5,2nd-4,5-52,1144.12,18.63,52
450,5,2nd-4,5-53,41.89,1.47,52
451,5,2nd-4,5-54,36.03,2.16,52
452,5,2nd-4,5-56,35.64,1.74,52
453,5,2nd-4,5-58,34.49,2.47,52
454,5,2nd-4,5-59,97.56,6.16,52
455,5,2nd-4,5-60,42.63,1.83,52
456,5,2nd-4,5-61,169.18,1.96,52
457,5,2nd-4,5-62,34.05,2.19,52
458,5,2nd-4,5-63,97.15,1.49,52
459,5,2nd-4,5-65,170.62,17.8,52
460,5,2nd-4,5-66,33.62,0.65,52
461,5,2nd-4,5-67,1.49,0.1,52
462,5,2nd-4,5-68,33.75,2.62,52
463,5,2nd-4,5-69,301.37,40.12,52
464,5,2nd-4,5-70,0.42,0.01,52
465,5,2nd-4,5-71,13.19,0.13,52
466,5,2nd-4,5-73,71.42,14.33,52
467,5,2nd-4,5-75,99.79,4.37,52
468,5,2nd-4,5-76,33.05,0.3,52
469,5,2nd-4,5-77,33.78,0.59,52
470,5,2nd-4,5-78,98.8,1.5,52
471,5,2nd-4,5-79,2.51,0.04,52
472,5,2nd-4,5-80,175.56,7.84,52
473,5,2nd-4,5-82,161.31,4.97,52
474,5,2nd-4,5-83,3.45,0.03,52
475,5,2nd-4,5-84,213.08,3.77,52
476,5,2nd-4,5-85,147.92,8.39,52
477,5,2nd-4,5-87,49.05,0.99,52
478,5,2nd-4,5-88,62.39,0.02,52
479,5,2nd-4,5-90,39.58,0.04,52
480,5,2nd-4,5-91,35.88,0.89,52
481,5,2nd-4,5-92,209.84,5.29,52
482,5,2nd-4,5-93,30.9,0.75,52
483,5,2nd-4,5-94,118.53,4.28,52
484,5,2nd-4,5-95,181.18,1.35,52
485,5,2nd-4,5-96,55.77,0.5,52
